,topic,topic_id,bias_id,title,source,bias,desc.,desc_word_count,processed_desc,kmean_clusters
1125,Humor and Satire- Lean Left,78,1,"Ahead of the recall, Newsom lets a polarizing housing bill sit on his desk.",New York Times (News), Lean Left,"Sitting among the hundreds of unsigned bills on Gov. Gavin Newsom’s desk is a measure called Senate Bill 9, which would allow duplexes on...",24,sit unsigned bill gov. gavin newsom desk measure senate bill 9 allow duplex ...,1
1126,Immigration- Right,79,5,Where John Durham’s Investigation Is Heading,Andrew C. McCarthy, Right,Last week’s indictment of Igor Danchenko has the commentariat buzzing. If special counsel John Durham has cracked the core of the Russiagate...,22,week indictment igor danchenko commentariat buzzing special counsel john durham crack core russiagate ...,1
1127,Immigration - moderate,79,3,The media’s epic fail,Axios,moderate,"A reckoning is hitting news organizations for years-old coverage of the 2017 Steele dossier, after the document's primary source was charged with lying to...",24,reckoning hit news organization year old coverage 2017 steele dossier document primary source charge lie ...,1
1128,Immigration- Left,79,2,The Crippling Blow for the Steele Dossier,New York Magazine, Left,"Christopher Steele, the former MI6 spy who compiled the notorious dossier during the 2016 campaign alleging ties between Donald Trump and Russia, made a...",24,christopher steele mi6 spy compile notorious dossier 2016 campaign allege tie donald trump russia ...,1
1129,Immigration- Lean Right,79,4,DOJ and FBI gave cover to Steele dossier source accused of lying,Washington Examiner, Lean Right,"The Justice Department and the FBI continued defending their use of information from Christopher Steele’s main source, Igor Danchenko, even after interviews...",22,justice department fbi continue defend use information christopher steele main source igor danchenko interview ...,1
1130,Immigration - moderate,79,3,Trump-Russia Steele dossier analyst Igor Danchenko pleads not guilty in FBI lie case prosecuted by John Durham,CNBC,moderate,The analyst charged with lying to FBI agents about his work on a controversial Steele Dossier linking Russia to former President Donald Trump...,23,analyst charge lie fbi agent work controversial steele dossier link russia president donald trump ...,1
1131,Immigration- Left,79,2,Analyst Who Reported Trump’s ‘Pee Tape’ Rumor Was Just Arrested,Vice, Left,"Federal law enforcement have arrested Igor Danchenko, a Russian analyst who reported the infamous “pee tape” rumor involving President Donald Trump....",21,federal law enforcement arrest igor danchenko russian analyst report infamous pee tape rumor involve president donald trump ....,1
1132,Immigration- Right,79,5,The Dossier Deceit,National Review, Right,We learn from special counsel John Durham’s indictment of Igor Danchenko that “the FBI ultimately devoted substantial resources attempting to...,20,learn special counsel john durham indictment igor danchenko fbi ultimately devote substantial resource attempt ...,1
1133,Immigration - moderate,79,3,America’s Return to the Moon Will Have to Wait a Year,Wall Street Journal (News),moderate,"U.S. astronauts are now expected to return to the moon in 2025 instead of 2024, with NASA Administrator Bill Nelson describing the earlier time frame as...",26,u.s. astronaut expect return moon 2025 instead 2024 nasa administrator bill nelson describe early time frame ...,1
1134,Immigration- Left,79,2,Latest US military hypersonic test fails,CNN (Online News), Left,"The US suffered a setback in the race with China and Russia to develop hypersonic weapons when its latest test failed, the Pentagon said in a...",26,suffer setback race china russia develop hypersonic weapon late test fail pentagon ...,1
1135,Immigration- Lean Right,79,4,"Biden meets Ukraine president, pledges U.S. support against Russian aggression",Washington Times, Lean Right,President Biden on Wednesday reassured Ukrainian President Volodymyr Zelenskyy that the U.S. will stand by Ukraine in the face of...,20,president biden wednesday reassure ukrainian president volodymyr zelenskyy u.s. stand ukraine face ...,0
1136,Immigration - moderate,79,3,Indictment of Steele dossier source is more bad news for multiple media outlets,Erik Wemple,moderate,MSNBC host Rachel Maddow in December 2017 aired a special report on the Trump-Russia dossier compiled by former British intelligence officer Christopher Steele...,23,msnbc host rachel maddow december 2017 air special report trump russia dossier compile british intelligence officer christopher steele ...,1
1137,Immigration- Lean Left,79,1,Russia allows methane leaks at planet’s peril,Washington Post, Lean Left,"On the morning of Friday, June 4, an underground gas pipeline running through the ancient state of Tatarstan sprang a leak. And not a small one.

In a...",28,morning friday june 4 underground gas pipeline run ancient state tatarstan spring leak small ...,1
1138,Immigration- Right,79,5,It Increasingly Looks Like Tucker Carlson’s Private Emails Were Leaked To The Media By The Government,The Daily Caller, Right,A report released Wednesday is shedding further light into Tucker Carlson’s bombshell allegation that the National Security Agency (NSA) obtained his private...,22,report release wednesday shed light tucker carlson bombshell allegation national security agency nsa obtain private ...,1
1139,Immigration - moderate,79,3,Perspectives: Durham Probe Indicts Steele Dossier Source,AllSides Headline Roundup,moderate,"Last Thursday, the primary source for the 2016 “Steele dossier” of allegations against then-candidate Donald Trump was arrested and charged with lying to the...",24,thursday primary source 2016 steele dossier allegation candidate donald trump arrest charge lie ...,1
1140,Immigration- Lean Left,79,1,FBI agents swarm Washington home of Russian oligarch Oleg Deripaska,NBC News (Online), Lean Left,"FBI agents on Tuesday swarmed the home of Russian oligarch Oleg Deripaska in Washington, D.C., an agency spokesperson confirmed to NBC News.

The reason for...",25,fbi agent tuesday swarm home russian oligarch oleg deripaska washington d.c. agency spokesperson confirm nbc news reason ...,1
1141,Impeachment- Right,80,5,Judge Rejects Defense Request to Remove Jesse Jackson from Ahmaud Arbery Trial,National Review, Right,The judge presiding over the Ahmaud Arbery trial rejected the defense team’s request to remove civil rights activist Jesse Jackson from the court...,23,judge preside ahmaud arbery trial reject defense team request remove civil right activist jesse jackson court ...,1
1142,Impeachment - moderate,80,3,Fact Checking McAuliffe’s Claim That Youngkin Wants to Ban Books by Black Authors,The Dispatch Fact Check,moderate,The Democratic nominee in the Virginia gubernatorial race Terry McAuliffe has accused his Republican opponent Glenn Youngkin of “want[ing] to ban books by...,23,democratic nominee virginia gubernatorial race terry mcauliffe accuse republican opponent glenn youngkin want[e ban book ...,1
1143,Impeachment- Left,80,2,What Kyle Rittenhouse's tears reveal about America,CNN (Opinion), Left,"Despite last year's demonstrations supporting racial justice and substantive efforts at political reform, the system that devalues Black lives remains largely...",21,despite year demonstration support racial justice substantive effort political reform system devalue black life remain largely ...,1
